question,difficulty
Describe a time you had to resolve a conflict.,easy
Describe a time you had to lead a team.,medium
Describe a time you had to meet a deadline.,easy
Describe a time you had to handle criticism.,medium
Describe a time you had to adapt to change.,easy
Describe a time you had to make a tough decision.,medium
Describe a time you had to work under pressure.,easy
Describe a time you had to manage multiple tasks.,hard
Describe a time you had to fail at something.,medium
Describe a time you had to learn a new skill quickly.,easy
How do you typically handle situations where you need to resolve a conflict?,easy
How do you typically handle situations where you need to lead a team?,medium
How do you typically handle situations where you need to meet a deadline?,hard
How do you typically handle situations where you need to handle criticism?,hard
How do you typically handle situations where you need to adapt to change?,easy
How do you typically handle situations where you need to make a tough decision?,hard
How do you typically handle situations where you need to work under pressure?,medium
How do you typically handle situations where you need to manage multiple tasks?,medium
How do you typically handle situations where you need to fail at something?,easy
How do you typically handle situations where you need to learn a new skill quickly?,easy
Give an example of a situation where you resolve a conflict.,medium
Give an example of a situation where you lead a team.,medium
Give an example of a situation where you meet a deadline.,medium
Give an example of a situation where you handle criticism.,hard
Give an example of a situation where you adapt to change.,easy
Give an example of a situation where you make a tough decision.,medium
Give an example of a situation where you work under pressure.,medium
Give an example of a situation where you manage multiple tasks.,medium
Give an example of a situation where you fail at something.,hard
Give an example of a situation where you learn a new skill quickly.,medium
What steps do you take to resolve a conflict?,hard
What steps do you take to lead a team?,medium
What steps do you take to meet a deadline?,hard
What steps do you take to handle criticism?,hard
What steps do you take to adapt to change?,medium
What steps do you take to make a tough decision?,medium
What steps do you take to work under pressure?,hard
What steps do you take to manage multiple tasks?,easy
What steps do you take to fail at something?,medium
What steps do you take to learn a new skill quickly?,easy
Tell me about a time when you failed to resolve a conflict.,hard
Tell me about a time when you failed to lead a team.,easy
Tell me about a time when you failed to meet a deadline.,easy
Tell me about a time when you failed to handle criticism.,hard
Tell me about a time when you failed to adapt to change.,medium
Tell me about a time when you failed to make a tough decision.,easy
Tell me about a time when you failed to work under pressure.,easy
Tell me about a time when you failed to manage multiple tasks.,medium
Tell me about a time when you failed to fail at something.,easy
Tell me about a time when you failed to learn a new skill quickly.,hard
How do you prioritize tasks when you need to resolve a conflict?,medium
How do you prioritize tasks when you need to lead a team?,easy
How do you prioritize tasks when you need to meet a deadline?,hard
How do you prioritize tasks when you need to handle criticism?,medium
How do you prioritize tasks when you need to adapt to change?,medium
How do you prioritize tasks when you need to make a tough decision?,easy
How do you prioritize tasks when you need to work under pressure?,easy
How do you prioritize tasks when you need to manage multiple tasks?,easy
How do you prioritize tasks when you need to fail at something?,hard
How do you prioritize tasks when you need to learn a new skill quickly?,hard
